symbol,ratio_sharpe
MMM,0.4192171299121675
AOS,0.728366755725936
ABT,0.610631153380958
ABBV,0.9720810638355456
ACN,0.7458932151098515
ATVI,0.8174695642472207
ADM,0.6053923639099448
ADBE,0.565618105776521
ADP,0.5753996525192046
AAP,0.5557978370059732
AES,0.2718762542197833
AFL,0.5082314516762451
A,0.323879630435993
APD,0.6739708930789786
AKAM,0.323363887420004
ALK,0.46408179591736576
ALB,0.6851537686905191
ARE,0.5267489596937751
ALGN,0.607418089670505
ALLE,0.5444978130514518
LNT,0.6155020917773915
ALL,0.5059867013166454
GOOGL,0.9331580448651982
GOOG,0.934343387044552
MO,0.8463658805471058
AMZN,0.6383993338303948
AMCR,0.44092648942889195
AMD,0.4553092597521598
AEE,0.585213375180799
AAL,0.3575978887871464
AEP,0.5611818651917323
AXP,0.42121246740479007
AIG,0.0514783387055601
AMT,0.4455538918213677
AWK,0.8942623806298532
AMP,0.6338950795524934
ABC,0.8791206877959535
AME,0.8952051020297421
AMGN,0.44672484565224674
APH,0.6925874333799948
ADI,0.3965857110084042
ANSS,0.8798200003425104
AON,0.6342298991647901
APA,0.36393252223352074
AAPL,0.900885591857037
AMAT,0.3941494892855066
APTV,0.7481436241232967
ACGL,0.8389418735435132
ANET,1.0213981617910144
AJG,0.7643630097730607
AIZ,0.5371591572118714
T,0.32097612580883444
ATO,0.7543298753527615
ADSK,0.6000179554630649
AZO,0.9763393772874998
AVB,0.5631011069422401
AVY,0.4413035234100938
BKR,0.30717130620381955
BALL,0.7852987393141054
BAC,0.31981856822798715
BBWI,0.46150945592029724
BAX,0.3827257512762091
BDX,0.6809464567399036
WRB,0.8723413711953772
BBY,0.3928953617560723
BIO,0.7488123880938852
TECH,0.5488838186434367
BIIB,0.505196485338899
BLK,0.7758394267194724
BK,0.2629114194850918
BA,0.5074847379459321
BKNG,0.5135813221103775
BWA,0.563158798459182
BXP,0.40921908436417276
BSX,0.41943248214558576
BMY,0.3246436806298841
AVGO,1.183145584732412
BR,0.7644148225319263
BRO,0.8095364290521372
BG,0.5418489079536306
CHRW,0.6382705926150188
CDNS,0.5402364093642728
CZR,0.8899723019706932
CPT,0.563093668445767
CPB,0.3858966394760886
COF,0.3676463152730123
CAH,0.4288492007585544
KMX,0.649070923475588
CCL,0.20606196040696742
CARR,1.5035184901053122
CTLT,0.643014045980624
CAT,0.6512491833277264
CBOE,0.6894299046225119
CBRE,0.5856567897799775
CDW,1.190247782303419
CE,0.5720301639186973
CNC,0.7478202467844814
CNP,0.40305161868284756
CDAY,0.6728659910643588
CF,0.7638088951728546
CRL,0.5178742646621143
SCHW,0.31161003365253
CHTR,0.8688318531051811
CVX,0.5303777228473281
CMG,0.8622887065358114
CB,0.6023014665468963
CHD,0.9309765006766137
CI,0.5461941005562159
CINF,0.48985596634202666
CTAS,0.6296779620682977
CSCO,0.19809081723504468
C,0.07286963786341444
CFG,0.41308650375621186
CLX,0.5861762055083674
CME,0.8198914873966726
CMS,0.4954717383282274
KO,0.47954140282000246
CTSH,0.6508117586423982
CL,0.43567016282411425
CMCSA,0.3712529247107006
CMA,0.3132164899905038
CAG,0.49203458772963965
COP,0.558251791449026
ED,0.6760372125203933
STZ,0.7720654190230846
CEG,1.6092989766365635
COO,0.6677847284093564
CPRT,0.7838382419386895
GLW,0.24369301217748257
CTVA,0.8363575765174541
CSGP,0.5982016523123462
COST,0.6375995923785638
CTRA,0.6138700351606793
CCI,0.4439777144531532
CSX,0.738757902059526
CMI,0.7197164428800034
CVS,0.4510633706882216
DHI,0.6637113261954674
DHR,0.8038656092990206
DRI,0.6560912642030576
DVA,0.8401000343612127
DE,0.7238474653066664
DAL,0.3840522308856803
XRAY,0.43284524881679326
DVN,0.3787549751104191
DXCM,0.756891218673019
FANG,0.7892899180239807
DLR,0.7225669477187171
DFS,0.49918850380995994
DISH,0.04272361925620794
DIS,0.3410632794622754
DG,0.9232582456781743
DLTR,0.5512684469864846
D,0.5613928815307686
DPZ,0.9002565089572905
DOV,0.4942688680489852
DOW,0.42707245331259003
DTE,0.6728699713523008
DUK,0.4917908453589043
DD,0.32788151303535745
DXC,0.2418788146274734
EMN,0.4844608661796398
ETN,0.6890140452122958
EBAY,0.4565222383043971
ECL,0.6248030649241645
EIX,0.5004395226493306
EW,0.851719499836365
EA,0.4770167270621942
ELV,0.7603090253444693
LLY,0.5864057912635491
EMR,0.4711648785585683
ENPH,0.9168481277330155
ETR,0.6588419238075993
EOG,0.6440410655091172
EPAM,0.9974599873483232
EQT,0.4741701046946641
EFX,0.6541323194539038
EQIX,0.41748729049896466
EQR,0.5116232605379166
ESS,0.6089320746532302
EL,0.5893151409445475
ETSY,0.6637922273159572
RE,0.6641979829429795
EVRG,0.6234054400527324
ES,0.5685754971011117
EXC,0.5182474289756595
EXPE,0.41935298402419713
EXPD,0.5975460137079527
EXR,0.8088797416118587
XOM,0.4642313013164372
FFIV,0.4685300590144764
FDS,0.7015795507222796
FICO,0.7799875520419453
FAST,0.7086189470251658
FRT,0.5857413074263731
FDX,0.4786951830358194
FITB,0.2925147677072028
FRC,0.12306416384039719
FSLR,0.6035737561266934
FE,0.4547604219129143
FIS,0.461057572370053
FISV,0.6497306943049942
FLT,0.7916643904220655
FMC,0.6585128605642121
F,0.2260565214469345
FTNT,1.0260298892363715
FTV,0.47223356896302887
FOXA,0.1237128864308549
FOX,0.018571193451338546
BEN,0.3986428430684732
FCX,0.5344771730654765
GRMN,0.6161501538955703
IT,0.6213330022634763
GEHC,3.1242490377289838
GEN,0.45393456385391057
GNRC,0.7875333525588658
GD,0.6754023773474985
GE,0.07561731789630098
GIS,0.6795278015206525
GM,0.2591591308252827
GPC,0.688967034507592
GILD,0.7590424080707783
GL,0.6031957129813814
GPN,0.7200366839913391
GS,0.3963279462739566
HAL,0.3504615339872994
HIG,0.3700393596008912
HAS,0.4409801970615098
HCA,0.8719936363996674
PEAK,0.48361728991829384
HSIC,0.7433125942800772
HSY,0.7781156798236909
HES,0.497420270628458
HPE,0.4859350341538675
HLT,0.6517812793791052
HOLX,0.6929866110290503
HD,0.48396228335065894
HON,0.46825792411243883
HRL,0.7628686390856593
HST,0.3875281242503372
HWM,0.5961953852254364
HPQ,0.29338407048778037
HUM,0.7944470779305304
HBAN,0.30427785664686136
HII,0.8231165045823217
IBM,0.25859813418728067
IEX,0.7480614126891039
IDXX,0.8901272821193411
ITW,0.6396469117490593
ILMN,0.5517796481815704
INCY,0.39785728471584747
IR,0.7459098511133403
PODD,0.7287009172111024
INTC,0.16642328814058355
ICE,0.6763940843194173
IFF,0.4105003256614151
IP,0.2828220723511366
IPG,0.23766970633962153
INTU,0.6105850872056714
ISRG,0.7884942924213376
IVZ,0.2640878390339881
INVH,0.5011174989577699
IQV,0.7934546961899316
IRM,0.5927203820314237
JBHT,0.7922981781809638
JKHY,0.5684914342820292
J,0.5906451021201375
JNJ,0.632361110801908
JCI,0.23655507659300903
JPM,0.40005104112813217
JNPR,0.18931387072197298
K,0.5024021361232524
KDP,0.9018389074873705
KEY,0.2924700697486183
KEYS,0.9501141036777349
KMB,0.49142775583322856
KIM,0.4153465444210231
KMI,0.1432736427573971
KLAC,0.5059896839403443
KHC,-0.026995931181467356
KR,0.5002035664096913
LHX,0.6520384140428499
LH,0.6957349716243754
LRCX,0.5614037611376578
LW,0.9226664539739817
LVS,0.40331740074255806
LDOS,0.5036718518887492
LEN,0.5544633640285355
LNC,0.31655911023574634
LIN,0.7619951241077038
LYV,0.5372406896622427
LKQ,0.7685423300468478
LMT,0.8943439662843726
L,0.5073907895356187
LOW,0.6262203126413901
LYB,0.7396909091240523
MTB,0.4147929504085272
MRO,0.446310627269005
MPC,0.806967762087564
MKTX,0.7183479490340815
MAR,0.5748852857171419
MMC,0.4569190921073063
MLM,0.5357344572944299
MAS,0.3992028161823066
MA,1.106219370989103
MTCH,0.48178936038847003
MKC,0.7730030380926323
MCD,0.6823720485843627
MCK,0.6783411440369456
MDT,0.27636725649157545
MRK,0.39941150692435623
META,0.6777793759533105
MET,0.46905512746293854
MTD,0.784558692586816
MGM,0.4349659137096214
MCHP,0.5285731234699385
